type,title,director,country,release_year,age_rating,genre,rating,stars,votes,month_added,year_added,duration_min,seasons
Movie,he's all that,Mark Waters,United States,2021,TV-14,Comedies,4.4,Mark Waters,24843,8,2021,92,0
TV Show,dating around,Not Given,Pakistan,2020,TV-MA,Reality TV,6.3,Jarry Lee,1225,6,2020,0,2
TV Show,first and last,Not Given,Pakistan,2018,TV-MA,Docuseries,6.7,Shantee G.,434,9,2018,0,1
TV Show,king of boys: the return of the king,Kemi Adetiba,Nigeria,2021,TV-MA,Crime TV Shows,6.2,Sola Sobowale,263,8,2021,0,1
TV Show,clickbait,Brad Anderson,United States,2021,TV-MA,Crime TV Shows,7.2,Zoe Kazan,52589,8,2021,0,1
TV Show,clickbait,Brad Anderson,United States,2021,TV-MA,Crime TV Shows,7.3,Brad Anderson,1281,8,2021,0,1
TV Show,archibald's next big thing,Not Given,Pakistan,2020,TV-Y7,Kids' TV,7.5,Tony Hale,293,3,2020,0,2
Movie,really love,Angel Kristi Williams,United States,2020,TV-MA,Dramas,6.1,Angel Kristi Williams,889,8,2021,95,0
TV Show,my holo love,Not Given,Pakistan,2020,TV-14,International TV Shows,7.6,Dahlia Salem,2601,2,2020,0,1
TV Show,rise of empires: ottoman,Not Given,Pakistan,2020,TV-MA,Docuseries,7.9,Cem Yigit Uzümoglu,22893,1,2020,0,1
TV Show,the degenerates,Not Given,Pakistan,2019,TV-MA,Stand-Up Comedy & Talk Shows,6.2,Joey Diaz,697,12,2019,0,2
TV Show,happy jail,Not Given,Pakistan,2019,TV-MA,Crime TV Shows,6.9,,257,8,2019,0,1
TV Show,tunnel,Not Given,Pakistan,2019,TV-14,Crime TV Shows,8.3,Choi Jin-Hyuk,2940,10,2019,0,1
Movie,"bob ross: happy accidents, betrayal & greed",Joshua Rofé,Not Given,2021,TV-14,Documentaries,6.9,Joshua Rofé,5981,8,2021,93,0
TV Show,john of god: the crimes of a spiritual healer,"Mauricio Dias, Tatiana Villela",Not Given,2021,TV-MA,Crime TV Shows,6.5,Andrea Mannelli,874,8,2021,0,1
Movie,the old ways,Christopher Alender,United States,2020,TV-MA,Horror Movies,5.4,Christopher Alender,6341,8,2021,90,0
Movie,the water man,David Oyelowo,United States,2021,PG,Children & Family Movies,5.5,David Oyelowo,3978,8,2021,92,0
Movie,the river runner,Rush Sturges,Not Given,2021,TV-MA,Documentaries,6.9,Rush Sturges,1755,8,2021,86,0
Movie,untold: caitlyn jenner,Crystal Moselle,Not Given,2021,TV-PG,Documentaries,6.4,Crystal Moselle,2676,8,2021,70,0
Movie,the witcher: nightmare of the wolf,Han Kwang Il,Not Given,2021,TV-MA,Action & Adventure,7.2,Kwang Il Han,43497,8,2021,84,0
Movie,sweet girl,Brian Andrew Mendoza,United States,2021,R,Action & Adventure,5.5,Brian Andrew Mendoza,31856,8,2021,110,0
TV Show,super monsters,Not Given,Pakistan,2019,TV-Y,Kids' TV,6.2,Nigel Pilkington,419,10,2019,0,3
TV Show,super monsters,Not Given,Pakistan,2019,TV-Y,Kids' TV,6.0,Gigi Saul Guerrero,41,10,2019,0,3
TV Show,super monsters,Not Given,Pakistan,2019,TV-Y,Kids' TV,5.9,Maria J. Cruz,52,10,2019,0,3
TV Show,super monsters,Not Given,Pakistan,2019,TV-Y,Kids' TV,4.8,Gigi Saul Guerrero,68,10,2019,0,3
TV Show,top boy,Not Given,Pakistan,2019,TV-MA,British TV Shows,8.4,Ashley Walters,25235,9,2019,0,1
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.2,Greg Chun,692,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.6,Hiroyasu Aoki,15,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.1,Hiroyasu Aoki,16,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.5,Hiroyasu Aoki,12,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.6,Hiroyasu Aoki,12,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.6,Hiroyasu Aoki,11,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.5,Hiroyasu Aoki,11,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.7,Hiroyasu Aoki,11,8,2019,0,2
TV Show,hero mask,Not Given,Pakistan,2019,TV-14,Anime Series,6.7,Hiroyasu Aoki,10,8,2019,0,2
TV Show,extreme engagement,Not Given,Pakistan,2019,TV-MA,International TV Shows,5.6,PJ Madam,389,7,2019,0,1
TV Show,pili fantasy: war of dragons,Not Given,Pakistan,2019,TV-14,International TV Shows,6.9,,41,7,2019,0,1
Movie,man in love,Yin Chen-hao,Not Given,2021,TV-MA,Dramas,6.9,Chen-Hao Yin,1835,8,2021,115,0
Movie,boomika,Rathindran R Prasad,Not Given,2021,TV-14,Horror Movies,5.5,R. Rathindran Prasad,2576,8,2021,122,0
Movie,the secret diary of an exchange student,Bruno Garotti,Brazil,2021,TV-14,Comedies,5.3,Bruno Garotti,922,8,2021,97,0
Movie,untold: deal with the devil,Laura Brownson,United States,2021,TV-MA,Documentaries,7.3,Laura Brownson,2407,8,2021,78,0
TV Show,true tunes,Not Given,Pakistan,2019,TV-Y,Kids' TV,8.7,,13,7,2019,0,1
TV Show,kakegurui,Not Given,Pakistan,2019,TV-MA,International TV Shows,7.2,Saori Hayami,9562,7,2019,0,2
TV Show,kakegurui,Not Given,Pakistan,2019,TV-MA,International TV Shows,6.7,Minami Hamabe,1059,7,2019,0,2
TV Show,killer ratings,Not Given,Pakistan,2019,TV-MA,Crime TV Shows,7.6,Divanilson Cavalcanti,1751,5,2019,0,1
TV Show,i hear you,Not Given,Pakistan,2019,TV-14,International TV Shows,7.2,Zhao Lusi,638,5,2019,0,1
Movie,the loud house movie,Dave Needham,Not Given,2021,TV-Y7,Children & Family Movies,6.1,Dave Needham,2122,8,2021,88,0
Movie,a faraway land,Veronica Velasco,Not Given,2020,TV-PG,Dramas,5.1,Veronica Velasco,140,8,2021,102,0
Movie,black island,Miguel Alexandre,Not Given,2021,TV-MA,International Movies,5.2,Miguel Alexandre,2854,8,2021,105,0
